metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,jain,jain_ci_lower,jain_ci_upper,jain_ci_median
accuracy,0.5,0.7071067811865476,0.5,0.5,0.5,0.5,0.5,0.5,0.5
brier,0.25,0.0,0.25,0.25,0.25,0.5,0.5,0.5,0.5
ece,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
f1,0.5,0.7071067811865476,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
f1_negative,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
f1_positive,0.5,0.7071067811865476,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
mce,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
positive_rate,0.5,0.7071067811865476,0.5,0.5,0.5,0.5,0.5,0.5,0.5
pr_auc,0.5,0.7071067811865476,0.5,0.5,0.5,0.5,0.5,0.5,0.5
precision,0.5,0.7071067811865476,0.5,0.5,0.5,0.0,0.0,0.0,0.0
roc_auc,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0
sensitivity,0.5,0.7071067811865476,1.0,1.0,1.0,0.0,0.0,0.0,0.0
specificity,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
