variant,metric,train_cv_mean,train_cv_std,jain,shehata,harvey
descriptors_full_vh,accuracy,0.5988854239220215,0.0672371246025381,0.6,0.5977011494252874,0.616
descriptors_full_vh,brier,0.2360564497909884,0.0165025184882266,0.2386349234827094,0.2674864598439932,0.2422088899274289
descriptors_full_vh,ece,0.1752195114394611,0.0387478937140487,0.0996043437200662,0.174658204676347,0.1735369804597824
descriptors_full_vh,f1,0.7074709894338367,0.0596635681983,0.4666666666666667,0.6902654867256637,0.7046153846153846
descriptors_full_vh,f1_negative,0.3445975710612746,0.1165527418334693,0.68,0.4262295081967213,0.4514285714285714
descriptors_full_vh,f1_positive,0.7074709894338367,0.0596635681983,0.4666666666666667,0.6902654867256637,0.7046153846153846
descriptors_full_vh,mce,0.7138909122165303,0.1608282016712642,0.4191968245905828,0.9064698784167368,0.2945249599205189
descriptors_full_vh,pr_auc,0.7024962904342119,0.0313889363214173,0.5548145098019338,0.5671356609053184,0.6856835923581701
descriptors_full_vh,precision,0.6004534634969418,0.0870371316989729,0.4827586206896552,0.6290322580645161,0.5725
descriptors_full_vh,roc_auc,0.6313121872271938,0.0733450681781092,0.6247531270572745,0.5054466230936819,0.7264439999999999
descriptors_full_vh,sensitivity,0.8765082716472168,0.0688517357536353,0.4516129032258064,0.7647058823529411,0.916
descriptors_full_vh,specificity,0.249989824989825,0.0920342335102255,0.6938775510204082,0.3611111111111111,0.316
descriptors_cdrh3_pi,accuracy,0.5148772867310621,0.0782279594807454,0.3875,0.5862068965517241,0.501
descriptors_cdrh3_pi,brier,0.2490780738193903,0.0169666326787783,0.283892025346108,0.2131145013412244,0.2485817924053921
descriptors_cdrh3_pi,ece,0.1705484846495031,0.0363409045801755,0.2629682768958906,0.0953832130910334,0.1811256650563392
descriptors_cdrh3_pi,f1,0.5521201708546147,0.0550377178413446,0.5585585585585585,0.7391304347826086,0.66711140760507
descriptors_cdrh3_pi,f1_negative,0.4626508209018833,0.1238119131394288,0.0,0.0,0.0039920159680638
descriptors_cdrh3_pi,f1_positive,0.5521201708546147,0.0550377178413446,0.5585585585585585,0.7391304347826086,0.66711140760507
descriptors_cdrh3_pi,mce,0.4730687778689504,0.2056463229167024,0.6835354163221445,0.3372745547669018,0.4613489086984114
descriptors_cdrh3_pi,pr_auc,0.6552787060415419,0.064027687334273,0.6286114261159397,0.8167561635173364,0.6896236119491188
descriptors_cdrh3_pi,precision,0.5831665162794195,0.1013958808824523,0.3875,0.5862068965517241,0.5005005005005005
descriptors_cdrh3_pi,roc_auc,0.5563570535507292,0.0835898521580669,0.7156023699802503,0.7660675381263617,0.722154
descriptors_cdrh3_pi,sensitivity,0.5352703103184847,0.0603476943787196,1.0,1.0,1.0
descriptors_cdrh3_pi,specificity,0.4959045584045584,0.1389155336163096,0.0,0.0,0.002
descriptors_cdrh3_top5,accuracy,0.5950251706822143,0.0750635976203255,0.55,0.5862068965517241,0.627
descriptors_cdrh3_top5,brier,0.2467682944285871,0.0138029834660313,0.2626697959154685,0.2375632048390648,0.2322745569167654
descriptors_cdrh3_top5,ece,0.183926060091922,0.0525238422284226,0.2149540587805988,0.1552295475671667,0.1194795596373946
descriptors_cdrh3_top5,f1,0.7084635285744777,0.0639442487763991,0.55,0.6785714285714286,0.671943711521548
descriptors_cdrh3_top5,f1_negative,0.3229971783434782,0.1065964524694096,0.55,0.4193548387096774,0.5677867902665121
descriptors_cdrh3_top5,f1_positive,0.7084635285744777,0.0639442487763991,0.55,0.6785714285714286,0.671943711521548
descriptors_cdrh3_top5,mce,0.802485010654323,0.1067082480010493,0.9427918961373936,0.5463395937389595,0.2739140867363692
descriptors_cdrh3_top5,pr_auc,0.6571823120213136,0.0706079249397163,0.4929093499948286,0.6961858835308871,0.6950198717165035
descriptors_cdrh3_top5,precision,0.5973087716906085,0.0947777461224646,0.4489795918367347,0.6229508196721312,0.5996860282574569
descriptors_cdrh3_top5,roc_auc,0.5916525757403945,0.0590902721844922,0.6063199473337721,0.6451525054466231,0.704564
descriptors_cdrh3_top5,sensitivity,0.8879573410869049,0.0569851223652836,0.7096774193548387,0.7450980392156863,0.764
descriptors_cdrh3_top5,specificity,0.2300620675620675,0.0974265310803407,0.4489795918367347,0.3611111111111111,0.49
