metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,boughter,boughter_ci_lower,boughter_ci_upper,boughter_ci_median
accuracy,0.6826666666666666,0.05588347665422189,0.6447105788423154,0.7225548902195609,0.6826347305389222,0.603411513859275,0.5607675906183369,0.6418443496801705,0.603411513859275
brier,0.21552881593523368,0.02355738372239983,0.1994527717955972,0.23161987329239517,0.21541534926827807,0.26270155170175036,0.24260936036432937,0.2828021028030502,0.2630042144488339
ece,0.16580232523244406,0.03713530906333141,0.05167849057400976,0.10938710148539686,0.07985086175514718,0.12047029813703211,0.10840153735158678,0.183950898827241,0.1424995434442814
f1,0.7211245272428706,0.07266398796664315,0.6885739892141276,0.7661745892386805,0.7285223367697594,0.6059322033898306,0.5526315789473685,0.6549211643420254,0.6031715396285358
f1_negative,0.610360091302764,0.07697294243073007,0.5604010282776349,0.6697049245871627,0.6196541435400558,0.6008583690987125,0.5491990846681922,0.6486541983461902,0.6013674521469621
f1_positive,0.7211245272428706,0.07266398796664315,0.6885739892141276,0.7661745892386805,0.7285223367697594,0.6059322033898306,0.5526315789473685,0.6549211643420254,0.6031715396285358
mce,0.5733046054258264,0.1872486790777098,0.14059320482443982,0.5432184848345377,0.2553085394728464,0.4009426847662142,0.281175417480164,0.9009426847662142,0.417257573585082
positive_rate,0.5627450980392158,0.10267222881221694,0.5229540918163673,0.6067864271457086,0.562874251497006,0.4669509594882729,0.42430703624733473,0.5138592750533049,0.464818763326226
pr_auc,0.754283218073703,0.1093939890637915,0.6837877469358102,0.795797108044069,0.7410993496306247,0.5715120146308925,0.5053696317247617,0.6361712575844332,0.5735708803714916
precision,0.7032352735826366,0.11870094859138264,0.6551724137931034,0.7517414965986393,0.7040637163648671,0.5652173913043478,0.5040975276556043,0.6230419799498746,0.5639383259911894
roc_auc,0.7227767136668738,0.0694508825437726,0.6621798870156056,0.7547127077339868,0.7084971433732897,0.6215251141552511,0.5696395703201304,0.6684643395402067,0.6202675054788946
sensitivity,0.7520097193466759,0.07833765133994101,0.7075812274368231,0.8047270457382817,0.7564575645756457,0.6529680365296804,0.5877052148720425,0.7129354996051469,0.6517857142857143
specificity,0.6010613795053155,0.14211970824708395,0.5237824675324676,0.651790630899937,0.589041095890411,0.56,0.5020238850137392,0.6185362417411582,0.5607843137254902
