metric,train_cv_mean,train_cv_std,train_cv_ci_lower,train_cv_ci_upper,train_cv_ci_median,jain,jain_ci_lower,jain_ci_upper,jain_ci_median,shehata_curated,shehata_curated_ci_lower,shehata_curated_ci_upper,shehata_curated_ci_median,harvey,harvey_ci_lower,harvey_ci_upper,harvey_ci_median
accuracy,0.5443909663087745,0.06242922539151684,0.5075239398084815,0.5814295485636115,0.5444596443228454,0.4875,0.3875,0.5875,0.4875,0.5487804878048781,0.43902439024390244,0.6707317073170732,0.5487804878048781,0.549949545913219,0.5186680121089808,0.5822401614530777,0.549949545913219
brier,0.24733439198975757,0.011091494604949225,0.2383678619038434,0.2566617437107277,0.24749915007207685,0.2511594488883796,0.22899566769085006,0.27322267795023925,0.2500287923841821,0.2451123142346427,0.21824107985491115,0.27257948074574606,0.24444477708389387,0.2548685872068002,0.2469176341916554,0.2634697079468637,0.2548805587884798
ece,0.14485033914884812,0.038801445544598065,0.04839249222921671,0.10874479107113488,0.07519169409090397,0.14754827118407104,0.10618336503491466,0.26967977071321414,0.1829242178142301,0.15744292924449116,0.10526876730920834,0.27817285404798137,0.18548105252911878,0.05160152678713778,0.04591093271976425,0.09289397581124695,0.06718538999023972
f1,0.5453427626121126,0.05747473085783135,0.5006952189825009,0.5887378613882641,0.545574954846478,0.4533333333333333,0.30303030303030304,0.5822784810126582,0.4533333333333333,0.6185567010309279,0.49411764705882355,0.7272727272727273,0.62,0.5678294573643411,0.5308882235528942,0.6011560693641619,0.567527989669449
f1_negative,0.5407111727814428,0.07697609526980077,0.4992804526658013,0.5857621821332293,0.5419793262581869,0.5176470588235295,0.38461538461538464,0.6363886113886114,0.5217391304347826,0.44776119402985076,0.28060728744939273,0.5938316231343282,0.4444444444444444,0.5305263157894737,0.49141445107110343,0.5693126705480739,0.5307806939787516
f1_positive,0.5453427626121126,0.05747473085783135,0.5006952189825009,0.5887378613882641,0.545574954846478,0.4533333333333333,0.30303030303030304,0.5822784810126582,0.4533333333333333,0.6185567010309279,0.49411764705882355,0.7272727272727273,0.62,0.5678294573643411,0.5308882235528942,0.6011560693641619,0.567527989669449
mce,0.6360866081777949,0.2389597605723502,0.16239719286991755,0.5910035933565345,0.29200352519123784,0.754875884925146,0.4313454318806357,0.754875884925146,0.754875884925146,0.26857643056599156,0.26857643056599156,0.7688878233863423,0.5134228934721545,0.37725218979983444,0.2817112229598489,0.6618026050592835,0.4376420968672255
positive_rate,0.5088485746019992,0.04446746364359588,0.47332421340629277,0.5444596443228454,0.5088919288645691,0.3875,0.275,0.4875,0.3875,0.573170731707317,0.4634146341463415,0.6829268292682927,0.573170731707317,0.5025227043390514,0.47325933400605447,0.5317860746720484,0.5025227043390514
pr_auc,0.6335665345693123,0.0540309289927926,0.555717243104068,0.661879891882676,0.6080323888385161,0.4430171766270127,0.3058274291543062,0.6321762013995115,0.465968130697028,0.6777083500306471,0.5448821629198984,0.8031094601810193,0.6866664819195463,0.5422256123099445,0.49969682463764736,0.5871348663244303,0.5437893164775848
precision,0.563066849386792,0.08571938955146818,0.5014312833992438,0.6065841783177737,0.5552486187845304,0.38636363636363635,0.2399782608695652,0.5279166666666666,0.38636363636363635,0.6,0.4564723320158103,0.7347227570273392,0.6,0.548689138576779,0.5069604592427058,0.5886902191228007,0.5487468161329735
roc_auc,0.5866708215486345,0.06244598853551273,0.5310812966223143,0.6158191657724206,0.5722076569705907,0.5566161948650428,0.42607524180934636,0.6843353256659708,0.5630131927692903,0.5635258358662614,0.43522058823529414,0.6864824907235622,0.564369475428812,0.5641938952564822,0.527549852794806,0.5988278333647726,0.5633273462334895
sensitivity,0.5414201448957547,0.08467205237078154,0.4871761658031088,0.5877696107084405,0.5380358236374769,0.5483870967741935,0.3665909090909091,0.7241379310344828,0.5517241379310345,0.6382978723404256,0.48978506296135477,0.7727272727272727,0.6363636363636364,0.5883534136546185,0.5430298215045319,0.6298809523809524,0.5876919840100989
specificity,0.556925602776996,0.11814353209561014,0.5,0.5994156200159491,0.5507860476541391,0.4489795918367347,0.3181818181818182,0.5849889012208657,0.4523809523809524,0.42857142857142855,0.25,0.6001315789473682,0.4246212121212121,0.5111561866125761,0.46934255103455447,0.5551133786848073,0.5114347091291813
